<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.11.02	14:15:00	1276.50	1276.75	1276.38	1276.58	2179	2179	4
2017.11.02	14:30:00	1276.58	1276.58	1275.79	1275.90	2185	2185	4
2017.11.02	14:45:00	1275.90	1276.17	1273.40	1274.67	3072	3072	4
2017.11.02	15:00:00	1274.76	1275.79	1273.54	1275.39	6094	6094	4
2017.11.02	15:15:00	1275.40	1275.68	1274.79	1275.48	2457	2457	4
2017.11.02	15:30:00	1275.48	1276.11	1274.03	1275.81	7179	7179	4
2017.11.02	15:45:00	1275.82	1277.04	1275.68	1276.47	5511	5511	4
2017.11.02	16:00:00	1276.46	1277.10	1275.93	1276.08	4962	4962	4
2017.11.02	16:15:00	1276.08	1277.09	1275.74	1277.07	4385	4385	4
2017.11.02	16:30:00	1277.04	1278.23	1277.01	1277.42	6718	6718	4
2017.11.02	16:45:00	1277.42	1277.70	1276.71	1277.24	5182	5182	4
2017.11.02	17:00:00	1277.25	1284.18	1277.12	1283.22	11156	11156	4
2017.11.02	17:15:00	1283.22	1283.64	1282.00	1282.39	6347	6347	4
2017.11.02	17:30:00	1282.39	1282.49	1278.76	1278.95	6499	6499	4
2017.11.02	17:45:00	1278.95	1279.92	1278.36	1279.58	5457	5457	4
2017.11.02	18:00:00	1279.57	1279.77	1278.08	1278.54	5567	5567	4
2017.11.02	18:15:00	1278.53	1279.56	1278.40	1279.02	5997	5997	4
2017.11.02	18:30:00	1279.03	1279.16	1278.03	1278.96	5643	5643	4
2017.11.02	18:45:00	1278.96	1279.57	1278.63	1278.76	4738	4738	4
2017.11.02	19:00:00	1278.76	1279.09	1275.41	1276.36	6136	6136	4
2017.11.02	19:15:00	1276.36	1276.47	1275.31	1275.51	4515	4515	4
2017.11.02	19:30:00	1275.51	1276.07	1274.97	1276.03	4173	4173	4
2017.11.02	19:45:00	1276.06	1276.52	1275.80	1276.46	3021	3021	4
2017.11.02	20:00:00	1276.47	1276.79	1276.04	1276.55	2753	2753	4
2017.11.02	20:15:00	1276.54	1277.55	1276.25	1277.44	2855	2855	4
2017.11.02	20:30:00	1277.43	1277.76	1276.98	1277.04	2445	2445	4
2017.11.02	20:45:00	1277.04	1277.31	1276.85	1277.10	2311	2311	4
2017.11.02	21:00:00	1277.12	1277.55	1276.69	1276.73	2197	2197	4
2017.11.02	21:15:00	1276.74	1277.00	1276.22	1276.35	1767	1767	4
2017.11.02	21:30:00	1276.34	1277.18	1276.31	1277.04	1704	1704	4
2017.11.02	21:45:00	1277.04	1277.85	1276.95	1277.56	2591	2591	4
2017.11.02	22:00:00	1277.56	1278.03	1276.00	1276.04	3123	3123	4
2017.11.02	22:15:00	1276.02	1276.80	1275.78	1276.02	3260	3260	4
2017.11.02	22:30:00	1275.99	1276.62	1275.71	1276.48	2417	2417	4
2017.11.02	22:45:00	1276.47	1276.61	1276.00	1276.24	1966	1966	4
2017.11.02	23:00:00	1276.23	1276.28	1275.57	1275.77	1130	1130	6
2017.11.02	23:15:00	1275.78	1276.15	1275.73	1275.96	495	495	6
2017.11.02	23:30:00	1275.96	1276.67	1275.76	1276.27	906	906	6
2017.11.02	23:45:00	1276.25	1276.29	1275.80	1275.90	934	934	6
2017.11.03	01:00:00	1275.96	1277.07	1275.96	1276.78	568	568	10
2017.11.03	01:15:00	1276.78	1277.41	1276.58	1277.39	516	516	8
2017.11.03	01:30:00	1277.40	1277.47	1276.82	1277.08	459	459	7
2017.11.03	01:45:00	1277.09	1277.58	1277.08	1277.50	374	374	8
2017.11.03	02:00:00	1277.49	1277.55	1277.12	1277.42	605	605	6
2017.11.03	02:15:00	1277.43	1277.49	1276.90	1276.91	507	507	6
2017.11.03	02:30:00	1276.92	1277.50	1276.90	1277.43	576	576	6
2017.11.03	02:45:00	1277.42	1277.79	1277.38	1277.70	625	625	7
2017.11.03	03:00:00	1277.70	1278.61	1277.36	1278.52	1194	1194	6
2017.11.03	03:15:00	1278.52	1278.52	1278.19	1278.40	624	624	6
2017.11.03	03:30:00	1278.40	1278.46	1277.78	1277.80	1272	1272	6
2017.11.03	03:45:00	1277.80	1278.39	1277.75	1278.06	1025	1025	6
2017.11.03	04:00:00	1278.07	1278.23	1277.77	1277.98	1004	1004	6
2017.11.03	04:15:00	1277.97	1278.68	1277.96	1278.65	1395	1395	6
2017.11.03	04:30:00	1278.65	1278.76	1277.65	1277.77	1328	1328	6
2017.11.03	04:45:00	1277.76	1278.05	1277.17	1277.37	1227	1227	6
2017.11.03	05:00:00	1277.37	1277.63	1277.11	1277.36	1128	1128	6
2017.11.03	05:15:00	1277.36	1277.42	1276.51	1276.74	1839	1839	6
2017.11.03	05:30:00	1276.75	1277.13	1276.57	1276.58	1003	1003	6
2017.11.03	05:45:00	1276.57	1276.93	1276.25	1276.64	1283	1283	6
2017.11.03	06:00:00	1276.63	1276.96	1276.61	1276.92	746	746	6
2017.11.03	06:15:00	1276.91	1277.26	1276.82	1276.93	1011	1011	6
2017.11.03	06:30:00	1276.92	1276.94	1276.54	1276.60	708	708	6
2017.11.03	06:45:00	1276.61	1276.86	1276.60	1276.73	415	415	6
2017.11.03	07:00:00	1276.72	1276.95	1276.63	1276.92	486	486	7
2017.11.03	07:15:00	1276.91	1277.07	1276.80	1276.81	288	288	7
2017.11.03	07:30:00	1276.81	1277.14	1276.73	1277.09	477	477	6
2017.11.03	07:45:00	1277.12	1277.35	1277.01	1277.23	429	429	6
2017.11.03	08:00:00	1277.23	1277.38	1277.15	1277.34	295	295	6
2017.11.03	08:15:00	1277.34	1277.76	1277.24	1277.74	670	670	6
2017.11.03	08:30:00	1277.74	1277.77	1276.54	1276.86	1437	1437	6
2017.11.03	08:45:00	1276.85	1277.13	1276.71	1277.04	845	845	6
2017.11.03	09:00:00	1277.05	1277.37	1276.60	1276.95	1209	1209	6
